Query sequence,Most common phylum-level assignment,Phylum-level assignment,Most common class-level assignment,Class-level assignment,Most common order-level assignment,Order-level assignment,Most common family-level assignment,Family-level assignment,Most common Genus-level assignment,Genus-level assignment,Taxon assignment,Likelihood weight,otu,otu_references,tbas_loci,missing,link,Trophic Mode,Guild
Otu1,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Thyridariaceae,"Thyridariaceae,Arthopyreniaceae",Parathyridaria,"Parathyridaria,Arthopyrenia","Arthopyrenia_salicis,Parathyridaria_percutanea,Parathyridaria_ramulicola","0.142060, 0.130331, 0.129550, 0.128314, 0.128314, 0.128314, 0.128313, 0.016763, 0.008931, 0.005704, 0.005545",OTU0,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1,,
Otu10,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Thyridariaceae,"Thyridariaceae,Arthopyreniaceae",Parathyridaria,"Parathyridaria,Arthopyrenia","Arthopyrenia_salicis,Parathyridaria_percutanea,Parathyridaria_ramulicola","0.204623, 0.108899, 0.107419, 0.107403, 0.107403, 0.107403, 0.107401, 0.059765, 0.011125, 0.008684, 0.007418",OTU1,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu10,,
Otu100,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Pleosporaceae,Pleosporaceae,Pleospora,Pleospora,Pleospora_halimiones,0.991624,OTU2,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu100,Pathotroph-Saprotroph,Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph
Otu1000,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Dothideales,Dothideales,Dothideaceae,Dothideaceae,Stylodothis,"Stylodothis,Dothidea","Stylodothis_puccinioides,Dothidea_hippophaeos","0.027526, 0.027520, 0.027519, 0.019365, 0.015100, 0.013373, 0.010067, 0.009623, 0.008618, 0.008406, 0.007767",OTU3,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1000,Saprotroph,Undefined Saprotroph
Otu1001,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Atractosporales,Atractosporales,Atractosporaceae,Atractosporaceae,Rubellisphaeria,Rubellisphaeria,Rubellisphaeria_abscondita,"0.035346, 0.028982, 0.019508, 0.014741, 0.014666, 0.008526, 0.007081, 0.006893, 0.006554, 0.006546, 0.006524",OTU4,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1001,,
Otu1002,Ascomycota,Ascomycota,Lecanoromycetes,Lecanoromycetes,Ostropales,Ostropales,Gomphilaceae,Gomphilaceae,Corticifraga,"Corticifraga,Taitaia","Corticifraga_peltigerae,Taitaia_aurea","0.714575, 0.143684, 0.141741",OTU5,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1002,Pathotroph,Lichen Parasite
Otu1003,Ascomycota,Ascomycota,Orbiliomycetes,Orbiliomycetes,Orbiliales,"Orbiliales,unclassified",Orbiliaceae,"Orbiliaceae,unclassified",Arthrobotrys,"Arthrobotrys,Dactylellina,Drechslerella,Orbilia,Lecophagus","Arthrobotrys_pyriformis,Dactylellina_ellipsospora,Drechslerella_brochopaga,Dactylellina_haptotyla,Arthrobotrys_gephyropaga,Arthrobotrys_superba,Arthrobotrys_elegans,Orbilia_vinosa,Orbilia_auricolor,Lecophagus_sp,Drechslerella_dactyloides","0.134318, 0.110815, 0.110679, 0.103187, 0.060722, 0.060038, 0.057527, 0.057113, 0.057106, 0.054213, 0.021347",OTU6,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1003,Saprotroph,Undefined Saprotroph
Otu1004,Ascomycota,Ascomycota,Eurotiomycetes,Eurotiomycetes,Eurotiales,Eurotiales,Aspergillaceae,Aspergillaceae,Penicillium,Penicillium,Penicillium_gracilentum,"0.630815, 0.177638, 0.067715, 0.030837, 0.019916, 0.019903, 0.013360",OTU7,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1004,Pathotroph,Plant Pathogen
Otu1005,Ascomycota,Ascomycota,Saccharomycetes,Saccharomycetes,Saccharomycetales,Saccharomycetales,Debaryomycetaceae,Debaryomycetaceae,Meyerozyma,"Meyerozyma,Debaryomyces","Meyerozyma_guilliermondii,Debaryomyces_hansenii","0.040270, 0.028575, 0.028574, 0.026178, 0.022800, 0.022701, 0.022489, 0.022488, 0.012451, 0.012106, 0.011523",OTU8,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1005,Pathotroph,Animal Pathogen
Otu1006,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Hypoxylon,Hypoxylon,"Hypoxylon_monticulosum,Hypoxylon_perforatum","0.067244, 0.059555, 0.059546, 0.059541, 0.059446, 0.057709, 0.057313, 0.057255, 0.057243, 0.023973, 0.020161",OTU9,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1006,Pathotroph-Symbiotroph,Endophyte-Plant Pathogen
