SampleID,Illumina,lat,long,Sample_code,Year,Host.genus,Host,Site,Location,Location.state,Wash,Plant_Part,Range,Q1,Q2,Q3,Q4,Rain_mm_30yr_Av,Tmean_C_30yr,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,Prec.09,Tmax.09,Prec.18,Tmax.18
FA.Ar.g.1,FAArg1,26.584783,-99.149978,FA_Ar_g_1,2017,Aristida,Aristida,Falcon Lake,US,TX,Unwashed,Leaf Green,Native,N,N,N,N,500.67,23.64,22.88176557,12.23043378,42.27075574,615.5094375,36.68286775,7.749735999,28.93313174,27.30528048,16.30816036,29.79140594,14.6387026,537.1712045,106,14.83784075,57.45262452,212.1730415,63.83784075,167.1603222,72,34.73684298,29.98670884,59.35312566,29.17543458
DA.Bi.g.1,DABig1,28.5103,-98.442831,DA_Bi_g_1,2017,Bothriochloa,Bothriocloa_ischaemum,Daughtry,US,TX,Unwashed,Leaf Green,Invasive,N,N,N,N,633.03,21.93,21.61133588,13.49399542,43.1118044,655.5377302,36.40000153,5.099999905,31.30000114,26.55882044,14.63333321,29.13051848,13.03933774,629.2876739,93,24,41.17597706,213.5659478,96.83111392,183.8311139,101.8311139,46.46849096,29.199477,56.61098941,28.76598081
BG.ITS.27,BGITS27,27.168617,-97.929907,LP_Bi_g_2,2016,Bothriochloa,Bothriocloa_ischaemum,La Paloma,US,TX,Unwashed,Leaf Green,Invasive,N,Y,N,N,660.7,22.61,22.19640695,11.70316951,42.54688385,579.1114697,34.97340441,7.46688282,27.50652174,26.37446801,16.02485209,28.77259319,14.52190013,646.5555479,108.9347879,19.02362789,49.97163623,251.17712,90.02362789,202.2423321,100,39.20466641,28.83657425,62.51075301,28.05674848
BG.ITS.28,BGITS28,27.168595,-97.929943,LP_Bi_g_3,2016,Bothriochloa,Bothriocloa_ischaemum,La Paloma,US,TX,Unwashed,Leaf Green,Invasive,N,Y,N,N,660.7,22.61,22.19628694,11.70326152,42.54676556,579.1142496,34.97314041,7.46632631,27.50681426,26.37438001,16.02461534,28.77240995,14.52169138,646.5622228,108.9318628,19.02502278,49.96915145,251.17544,90.02502278,202.2435772,100,39.20460613,28.83660026,62.51014559,28.05676357
x3,x3,28.271464,-100.165357,TX_IF_Wet_Bouteloua,2015,Bouteloua,Bouteloua_curtipendula,Indio Faith,US,TX,Unwashed,Leaf Green,Native,N,Y,N,N,525.34,22.23,21.43280097,13.93353163,44.64795487,660.0613736,36.29999924,5.092431912,31.20756688,25.84956795,13.5154051,28.96623475,12.78207151,503.4423077,87,16,57.12424101,201.4423077,54,153.07568,59,37.33029014,29.07245111,44.47767366,28.30077304
BG.ITS.14,BGITS14,28.271302,-100.165182,IF_Bc_g_2,2016,Bouteloua,Bouteloua_curtipendula,Indio Faith,US,TX,Unwashed,Leaf Green,Native,N,Y,N,N,525.34,22.23,21.43294733,13.93350039,44.65062868,660.0548546,36.29999924,5.09437591,31.20562288,25.84969871,13.51572909,28.96636551,12.78239551,503.3981194,87,16,57.12322855,201.3981194,54,153.05624,59,37.33069103,29.07258501,44.47762563,28.30091976
BG.ITS.15,BGITS15,28.271268,-100.165225,IF_Bc_g_3,2016,Bouteloua,Bouteloua_curtipendula,Indio Faith,US,TX,Unwashed,Leaf Green,Native,N,Y,N,N,525.34,22.23,21.43297303,13.93348379,44.65115776,660.0529844,36.29999924,5.09478391,31.20521488,25.84971611,13.51579709,28.96638291,12.7824635,503.3972074,87,16,57.12321076,201.3972074,54,153.05216,59,37.3302007,29.0725857,44.47746852,28.30092483
x5,x5,33.409545,-111.876098,AZ_Wet_C_cenchrus,2015,Cenchrus,Cenchrus_ciliaris,Arizona,US,AZ,Unwashed,Leaf Green,Invasive,N,N,Y,N,236.64,22.46,22.17162458,16.35584003,45.20987604,778.0511421,40.91305912,4.735459945,36.1775989,31.51528698,25.36773011,31.78964844,12.98462436,221.39552,30.2376621,2,47.38243706,73.2376621,13,54.2376621,70.36824,15.2707642,30.34108069,19.21462903,30.34297244
CA.BG.g.1,CABGg1,28.34375,-99.615803,CA_BG_g_1,2017,Cenchrus,Cenchrus_ciliaris,Catarina,US,TX,Unwashed,Leaf Green,Invasive,N,N,Y,N,495.47,22.51,21.95057224,13.70122041,43.16698521,669.2672174,37.02499962,5.284909133,31.74009115,26.61239544,13.17665167,29.63412103,13.17665167,532.99545,74.39636,23,45.37507322,189.80182,72.70273,165.39636,72.70273,40.94764658,29.51464562,43.82769468,28.75583418
BG.ITS.33,BGITS33,28.510505,-98.442656,DA_BG_g_1,2016,Cenchrus,Cenchrus_ciliaris,Daughtry,US,TX,Unwashed,Leaf Green,Invasive,N,N,Y,N,633.03,21.93,21.61151087,13.49364543,43.11068616,655.5373625,36.40000153,5.099999905,31.30000114,26.55882437,14.63333321,29.13086455,13.03968776,629.3750384,93,24,41.16247116,213.5618769,96.85187843,183.8518784,101.8518784,46.47137318,29.19880259,56.61235895,28.76542291
BG.ITS.34,BGITS34,28.51052,-98.442701,DA_BG_g_2,2016,Cenchrus,Cenchrus_ciliaris,Daughtry,US,TX,Unwashed,Leaf Green,Invasive,N,N,Y,N,633.03,21.93,21.61146587,13.49373543,43.11097371,655.5399307,36.40000153,5.099999905,31.30000114,26.55873719,14.63333321,29.13086173,13.03959775,629.3658691,93,24,41.16299362,213.5651382,96.85170909,183.8517091,101.8517091,46.47097759,29.19879954,56.61140244,28.76541893
BG.ITS.35,BGITS35,28.510527,-98.442755,DA_BG_g_3,2016,Cenchrus,Cenchrus_ciliaris,Daughtry,US,TX,Unwashed,Leaf Green,Invasive,N,N,Y,N,633.03,21.93,21.61141187,13.49384343,43.11131876,655.5426265,36.40000153,5.099999905,31.30000114,26.55864603,14.63333321,29.1308449,13.03948975,629.3527391,93,24,41.16409396,213.5687583,96.85069914,183.8506991,101.8506991,46.47044764,29.19882445,56.61035328,28.76543802
