"Range","Location.state","Otu","pres.abs","Genus","Family","Order","Class","Trophic.mode","group","count"
"Native","Kenya","Otu105",12,"Curvularia","Pleosporaceae","Pleosporales","Dothideomycetes","Pathotroph","Shared",1
"Native","Kenya","Otu115",7,"Septoriella","Phaeosphaeriaceae","Pleosporales","Dothideomycetes",NA,"Shared",1
"Native","Kenya","Otu137",8,"Phacidium","Phacidiaceae","Rhytismatales","Leotiomycetes","Pathotroph","Shared",1
"Native","Kenya","Otu1385",78,"Exserohilum","Pleosporaceae","Pleosporales","Dothideomycetes","Pathotroph","Shared",1
"Native","Kenya","Otu1392",38,"Taphrina","Taphrinaceae","Taphrinales","Taphrinomycetes","Pathotroph","Shared",1
"Native","Kenya","Otu154",220,"Arthrinium","Apiosporaceae","Xylariales","Sordariomycetes","Saprotroph","Shared",1
"Native","Kenya","Otu179",2,"Aureobasidium","Aureobasidiaceae","Dothideales","Dothideomycetes","Pathotroph","Shared",1
"Native","Kenya","Otu18",229,"Septoriella","Phaeosphaeriaceae","Pleosporales","Dothideomycetes",NA,"Shared",1
"Native","Kenya","Otu20",2,"Murilentithecium","Lentitheciaceae","Pleosporales","Dothideomycetes",NA,"Shared",1
"Native","Kenya","Otu206",2,"Pseudocamarosporium","Didymosphaeriaceae","Pleosporales","Dothideomycetes",NA,"Shared",1
"Native","Kenya","Otu21",39,"Sphaeropezia","Stictidaceae","Ostropales","Lecanoromycetes","Pathotroph","Shared",1
"Native","Kenya","Otu210",8,"Jattaea","Calosphaeriaceae","Calosphaeriales","Sordariomycetes","Saprotroph","Shared",1
"Native","Kenya","Otu213",5,"Smaragdiniseta","Stachybotryaceae","Hypocreales","Sordariomycetes",NA,"Shared",1
"Native","Kenya","Otu217",19,"Cladophialophora","Herpotrichiellaceae","Chaetothyriales","Eurotiomycetes","Pathotroph","Shared",1
"Native","Kenya","Otu25",6087,"Cladosporium","Cladosporiaceae","Capnodiales","Dothideomycetes","Pathotroph-Symbiotroph","Shared",1
"Native","Kenya","Otu256",4,"Teratoramularia","Mycosphaerellaceae","Capnodiales","Dothideomycetes",NA,"Shared",1
"Native","Kenya","Otu2711",5,"Symbiotaphrina",NA,"Xylonomycetales","Xylonomycetes",NA,"Shared",1
"Native","Kenya","Otu2732",2,"Ascobolus","Pezizaceae","Pezizales","Pezizomycetes","Saprotroph","Shared",1
"Native","Kenya","Otu2738",566,"Sarocladium","unclassified","Hypocreales","Sordariomycetes","Saprotroph","Shared",1
"Native","Kenya","Otu2739",79,"Dimorphiseta","Stachybotryaceae","Hypocreales","Sordariomycetes",NA,"Shared",1
"Native","Kenya","Otu2741",3,"Xepicula","Stachybotryaceae","Hypocreales","Sordariomycetes",NA,"Shared",1
"Native","Kenya","Otu30",10,"Phaeosphaeria","Phaeosphaeriaceae","Pleosporales","Dothideomycetes","Saprotroph","Shared",1
"Native","Kenya","Otu339",2,"Cladosporium","Cladosporiaceae","Capnodiales","Dothideomycetes","Pathotroph","Shared",1
"Native","Kenya","Otu348",3,"Neodevriesia","Neodevriesiaceae","Capnodiales","Dothideomycetes",NA,"Shared",1
"Native","Kenya","Otu45",6,"Neodevriesia","Neodevriesiaceae","Capnodiales","Dothideomycetes",NA,"Shared",1
"Native","Kenya","Otu462",2,"Paradendryphiella","Pleosporaceae","Pleosporales","Dothideomycetes","Pathotroph","Shared",1
"Native","Kenya","Otu471",242,"Myxospora","Stachybotryaceae","Hypocreales","Sordariomycetes",NA,"Shared",1
"Native","Kenya","Otu479",1037,"Alternaria","Pleosporaceae","Pleosporales","Dothideomycetes","Pathotroph-Saprotroph-Symbiotroph","Shared",1
"Native","Kenya","Otu492",4,"Trypethelium","Trypetheliaceae","Trypetheliales","Dothideomycetes","Symbiotroph","Shared",1
"Native","Kenya","Otu52",605,"Cladosporium","Cladosporiaceae","Capnodiales","Dothideomycetes","Pathotroph-Symbiotroph","Shared",1
