Range,OTU,read.abund,Class,Order,Family,Genus
Introduced,otu1,1,Dothideomycetes,Pleosporales,Thyridariaceae,Parathyridaria
Shared,otu101,1,Sordariomycetes,Atractosporales,Atractosporaceae,Rubellisphaeria
Shared,otu103,1,Eurotiomycetes,Chaetothyriales,Chaetothyriaceae,Ceramothyrium
Introduced,otu104,1,Sordariomycetes,Atractosporales,Atractosporaceae,Atractospora
Shared,otu105,1,Dothideomycetes,Pleosporales,Didymellaceae,Neoascochyta
Shared,otu108,1,Lecanoromycetes,Peltigerales,Peltigeraceae,Peltigera
Shared,otu1094,1,Sordariomycetes,Hypocreales,Clavicipitaceae,Claviceps
Introduced,otu11,1,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces
Native,otu1127,2,Xylonomycetes,Xylonomycetales,unclassified,Symbiotaphrina
Shared,otu115,1,Pezizomycetes,Pezizales,Pezizaceae,Ascobolus
Introduced,otu1152,4,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria
Native,otu1172,11,Sordariomycetes,Hypocreales,Clavicipitaceae,Moelleriella
Introduced,otu1184,4,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces
Shared,otu1188,1,Schizosaccharomycetes,Schizosaccharomycetales,Schizosaccharomycetaceae,Schizosaccharomyces
Introduced,otu1205,2,Dothideomycetes,Stigmatodiscales,Stigmatodiscaceae,Stigmatodiscus
Shared,otu1208,1,Neolectomycetes,Neolectales,Neolectaceae,Neolecta
Native,otu1211,4,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris
Introduced,otu1212,38,Eurotiomycetes,Chaetothyriales,Trichomeriaceae,Knufia
Introduced,otu1233,1,Pezizomycetes,Pezizales,Ascobolaceae,Ascobolus
Native,otu1237,3,Dothideomycetes,Pleosporales,Thyridariaceae,Parathyridaria
Introduced,otu1240,1,Xylonomycetes,Xylonomycetales,unclassified,Symbiotaphrina
Introduced,otu1241,1,Saccharomycetes,Saccharomycetales,unclassified,Candida
Native,otu1250,1,Lecanoromycetes,Arctomiales,Arctomiaceae,Gregorella
Introduced,otu1251,1,Lecanoromycetes,Peltigerales,Placynthiaceae,Placynthium
Introduced,otu1256,1,Dothideomycetes,Pleosporales,Lentitheciaceae,Darksidea
Native,otu1257,2,Sordariomycetes,Hypocreales,Stachybotryaceae,Smaragdiniseta
Introduced,otu1259,1,Sordariomycetes,Xylariales,Amphisphaeriaceae,Discostroma
Native,otu1264,6,Lecanoromycetes,Rhizocarpales,Rhizocarpaceae,Rhizocarpon
Native,otu1267,1,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Meyerozyma
Introduced,otu127,1,Dothideomycetes,Botryosphaeriales,Saccharataceae,Saccharata
Native,otu1275,6,Eurotiomycetes,Coryneliales,Coryneliaceae,Caliciopsis
Native,otu1281,3,Sordariomycetes,Hypocreales,Cordycipitaceae,Cordyceps
Introduced,otu1282,2,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Acrodontium
Introduced,otu1287,2,Lecanoromycetes,Lecanorales,Ramalinaceae,Bacidia
Native,otu1295,3,Sordariomycetes,Atractosporales,Atractosporaceae,Rubellisphaeria
Introduced,otu1299,1,Sordariomycetes,Pleurotheciales,Pleurotheciaceae,Adelosphaeria
Introduced,otu1301,2,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora
Shared,otu1311,34,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium
Introduced,otu132,1,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeosphaeria
Introduced,otu1322,1,Pezizomycetes,Pezizales,Pezizaceae,Ascobolus
Shared,otu1324,1,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Meyerozyma
