Otu,Phylum.consensus,Class.consensus,Order.consensus,Family.consensus,Genus.consensus,Phylum-TBAS,Class-TBAS,Order-TBAS,Family-TBAS,Genus-TBAS,Trophic mode,Guild,Phylum.unite,Class.unite,Order.unite,Family.unite,Genus.unite,confidence.unite,Phylum.ncbi,Class.ncbi,Order.ncbi,Family.ncbi,Genus.ncbi
Otu2400,Chytridiomycota,Chytridiomycetes,Spizellomycetales,Spizellomycetaceae,Spizellomyces,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Pathotroph,Lichen Parasite,Chytridiomycota,Spizellomycetes,Spizellomycetales,Spizellomycetaceae,Spizellomyces,0.01,Chytridiomycota,Chytridiomycetes,Spizellomycetales,Spizellomycetaceae,Spizellomyces
Otu652,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Ascomycota,Dothideomycetes,Jahnulales,Aliquandostipitaceae,Jahnula,Saprotroph,Undefined Saprotroph,NA,NA,NA,NA,NA,0,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia
Otu1271,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Ascomycota,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Pathotroph,Lichen Parasite,NA,NA,NA,NA,NA,0.01,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia
Otu1376,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Ascomycota,Eurotiomycetes,Onygenales,Ascosphaeraceae,Ascosphaera,Pathotroph,Animal Pathogen,NA,NA,NA,NA,NA,0.03,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia
Otu2592,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Ascomycota,Dothideomycetes,Jahnulales,Aliquandostipitaceae,Jahnula,Saprotroph,Undefined Saprotroph,NA,NA,NA,NA,NA,0.06,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia
Otu3380,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Ascomycota,Dothideomycetes,Jahnulales,Aliquandostipitaceae,Jahnula,Saprotroph,Undefined Saprotroph,NA,NA,NA,NA,NA,0,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia
Otu15,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Pathotroph-Symbiotroph,Endophyte-Epiphyte-Plant Pathogen,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Toxicocladosporium,0.46,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu25,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Pathotroph-Symbiotroph,Endophyte-Epiphyte-Plant Pathogen,NA,NA,NA,NA,NA,0,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu48,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Pathotroph-Symbiotroph,Endophyte-Epiphyte-Plant Pathogen,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Toxicocladosporium,0.52,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu52,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Pathotroph-Symbiotroph,Endophyte-Epiphyte-Plant Pathogen,Ascomycota,NA,NA,NA,NA,0.46,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu54,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Pathotroph-Symbiotroph,Endophyte-Epiphyte-Plant Pathogen,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Toxicocladosporium,0.4,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu57,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,unclassified,Neodevriesia,0,0,Ascomycota,Dothideomycetes,Capnodiales,NA,NA,0.37,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu65,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Pathotroph-Symbiotroph,Endophyte-Epiphyte-Plant Pathogen,NA,NA,NA,NA,NA,0.08,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu75,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,unclassified,unclassified,0,0,Ascomycota,NA,NA,NA,NA,0.04,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu188,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Neodevriesiaceae,Neodevriesia,0,0,Ascomycota,Dothideomycetes,Capnodiales,Neodevriesiaceae,Neodevriesia,0.46,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu271,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Pathotroph-Symbiotroph,Endophyte-Epiphyte-Plant Pathogen,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,0.9,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu280,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Piedraiaceae,Piedraia,Pathotroph,Animal Pathogen,Ascomycota,NA,NA,NA,NA,0.12,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu319,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,unclassified,unclassified,0,0,NA,NA,NA,NA,NA,0.05,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu336,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Pathotroph-Symbiotroph,Endophyte-Epiphyte-Plant Pathogen,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Toxicocladosporium,0.33,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu351,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Acrodontium,Pathotroph,Plant Pathogen,Ascomycota,NA,NA,NA,NA,0.45,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu355,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Acrodontium,Pathotroph,Plant Pathogen,Ascomycota,Dothideomycetes,Capnodiales,NA,NA,0.23,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu384,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Pathotroph-Symbiotroph,Endophyte-Epiphyte-Plant Pathogen,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Toxicocladosporium,0.48,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu396,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Pathotroph-Symbiotroph,Endophyte-Epiphyte-Plant Pathogen,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Toxicocladosporium,0.79,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu409,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Teratoramularia,0,0,Ascomycota,NA,NA,NA,NA,0.38,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu470,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Pathotroph,Plant Pathogen,Ascomycota,NA,NA,NA,NA,0.1,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu486,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Pathotroph-Symbiotroph,Endophyte-Epiphyte-Plant Pathogen,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Toxicocladosporium,0.9,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu601,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Pathotroph,Plant Pathogen,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,1,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu658,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Clypeosphaerella,0,0,Ascomycota,Dothideomycetes,Capnodiales,NA,NA,0.18,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu662,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Symbiotroph,Endophyte,NA,NA,NA,NA,NA,0.43,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu690,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Acrodontium,Pathotroph,Plant Pathogen,Ascomycota,Dothideomycetes,Capnodiales,NA,NA,0.25,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu743,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Pathotroph,Plant Pathogen,Ascomycota,NA,NA,NA,NA,0.46,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
Otu778,Ascomycota,Dothideomycetes,Capnodiales,,,Ascomycota,Dothideomycetes,Capnodiales,unclassified,unclassified,0,0,NA,NA,NA,NA,NA,0.07,Ascomycota,Dothideomycetes,Capnodiales,NA,NA
